Year,CHIRPS_Precipitation,Region
2022,105.698765873909,Sool
2023,167.5634691119194,Sool
2024,107.6518168557077,Sool
2000,3180.011432170868,Jambi
2001,3318.35852599144,Jambi
2002,2604.6225292682648,Jambi
2003,3040.525262594223,Jambi
2004,2641.729075551033,Jambi
2005,3129.979569196701,Jambi
2006,2810.52550137043,Jambi
2007,3271.764438688755,Jambi
2008,2987.0391186475754,Jambi
2009,3235.4614083766937,Jambi
2010,3627.815225958824,Jambi
2011,2923.1616431474686,Jambi
2012,2831.4926314353943,Jambi
2013,2844.642455995083,Jambi
2014,2444.2708764076233,Jambi
2015,2029.1449933052063,Jambi
2016,2971.926015138626,Jambi
2017,3185.205442428589,Jambi
2018,2837.057769201696,Jambi
2019,2296.309072136879,Jambi
2020,3085.100360196084,Jambi
2021,3104.098268508911,Jambi
2022,3222.847594052553,Jambi
2023,2529.435858607292,Jambi
2024,2700.8423717282712,Jambi
2000,3319.5718306303024,Bukidnon
2001,3377.333748817444,Bukidnon
2002,2548.6771323680878,Bukidnon
2003,3391.095764398575,Bukidnon
2004,2698.442998290062,Bukidnon
2005,3201.7937375307083,Bukidnon
2006,2721.9546440839767,Bukidnon
2007,3135.838932275772,Bukidnon
2008,3372.510682582855,Bukidnon
2009,3592.644044160843,Bukidnon
2010,2801.283677816391,Bukidnon
2011,4119.906577467918,Bukidnon
2012,3400.7171653211117,Bukidnon
2013,3334.8616485595703,Bukidnon
2014,3044.2231637239456,Bukidnon
2015,2389.0079761743546,Bukidnon
2016,2874.9755733013153,Bukidnon
2017,3631.8532416820526,Bukidnon
2018,2816.8944103717804,Bukidnon
2019,2383.3753590458073,Bukidnon
2020,2982.7736134529114,Bukidnon
2021,3780.433529496193,Bukidnon
2022,3578.8917070627213,Bukidnon
2023,3502.749565601349,Bukidnon
2024,2869.894008100033,Bukidnon
2000,1176.8322308063507,Lang Son
2001,1621.3391926288605,Lang Son
2002,1381.4375005960464,Lang Son
2003,1328.3178902864456,Lang Son
2004,1350.996515750885,Lang Son
2005,1548.762588262558,Lang Son
2006,1235.4262189865112,Lang Son
2007,1332.932924747467,Lang Son
2008,1735.9144926071167,Lang Son
2009,1170.6382849216461,Lang Son
2010,1351.806539773941,Lang Son
2011,1163.4363584518433,Lang Son
2012,1483.410462141037,Lang Son
2013,1506.6823321580887,Lang Son
2014,1544.5887789726257,Lang Son
2015,1708.4500176906586,Lang Son
2016,1451.3556454181671,Lang Son
2017,1671.6018557548523,Lang Son
2018,1677.680079638958,Lang Son
2019,1446.0724337163847,Lang Son
2020,1211.3834365084767,Lang Son
2021,1327.1115055084229,Lang Son
2022,1606.1802642345428,Lang Son
2023,1166.2367565631866,Lang Son
2024,1834.3160323696084,Lang Son
2000,755.777024269104,Greater Accra
2001,857.2312723398209,Greater Accra
2002,932.6309367418289,Greater Accra
2003,898.1035390198231,Greater Accra
2004,810.0094138383865,Greater Accra
2005,931.5626283884048,Greater Accra
2006,920.5366560220718,Greater Accra
2007,1116.9268991351128,Greater Accra
2008,1180.80175948143,Greater Accra
2009,938.3447310328484,Greater Accra
2010,1129.251914858818,Greater Accra
2011,1019.1638488471508,Greater Accra
2012,797.5848723053932,Greater Accra
2013,588.8823373317719,Greater Accra
2014,884.5681176185608,Greater Accra
2015,811.9901802539825,Greater Accra
2016,1023.7187656760216,Greater Accra
2017,970.0701147019863,Greater Accra
2018,829.7705290392041,Greater Accra
