Year,CHIRPS_Precipitation,Region
2014,1698.168624997139,Equateur
2015,1542.773602604866,Equateur
2016,1868.4043551683426,Equateur
2017,2233.2225368618965,Equateur
2018,1896.4892896413803,Equateur
2019,1715.508606468211,Equateur
2020,1842.5619842410088,Equateur
2021,1848.231344640255,Equateur
2022,2062.2902077436447,Equateur
2023,1905.20436668396,Equateur
2024,1521.1617897599936,Equateur
2000,1494.840086877346,Kinshasa
2001,1249.460168004036,Kinshasa
2002,1636.0880916118622,Kinshasa
2003,1335.3347316980362,Kinshasa
2004,1324.0952073782682,Kinshasa
2005,1371.5485114753246,Kinshasa
2006,1508.511205457151,Kinshasa
2007,1610.3950658887625,Kinshasa
2008,1565.9768125712872,Kinshasa
2009,1402.8331376314163,Kinshasa
2010,1242.5769581198692,Kinshasa
2011,1571.6969453394413,Kinshasa
2012,1300.306313276291,Kinshasa
2013,1576.0254545211792,Kinshasa
2014,1344.7416801452637,Kinshasa
2015,1503.5452647805214,Kinshasa
2016,1709.2814401388168,Kinshasa
2017,1752.1822849810123,Kinshasa
2018,1614.5741508128121,Kinshasa
2019,1620.6530920291625,Kinshasa
2020,1487.4302097954787,Kinshasa
2021,1434.492331147194,Kinshasa
2022,1570.8447031378746,Kinshasa
2023,1721.8968620300293,Kinshasa
2024,1272.6032940635528,Kinshasa
2000,1235.1731652021408,Haut-Katanga
2001,1205.4247336685658,Haut-Katanga
2002,1264.7870608307421,Haut-Katanga
2003,1210.5282453298569,Haut-Katanga
2004,1223.934638619423,Haut-Katanga
2005,1092.4526335000992,Haut-Katanga
2006,1300.898666113615,Haut-Katanga
2007,1205.3463903963566,Haut-Katanga
2008,1115.8271383047104,Haut-Katanga
2009,1360.0344074964523,Haut-Katanga
2010,1036.4446968436241,Haut-Katanga
2011,1134.15415507555,Haut-Katanga
2012,1280.6815883368254,Haut-Katanga
2013,1157.5147528648376,Haut-Katanga
2014,1090.2645784914494,Haut-Katanga
2015,1053.7783983945847,Haut-Katanga
2016,1004.6148585677147,Haut-Katanga
2017,1252.4980926811695,Haut-Katanga
2018,1221.7094228779897,Haut-Katanga
2019,1235.4513701610836,Haut-Katanga
2020,1157.0464499322559,Haut-Katanga
2021,1096.6508951187134,Haut-Katanga
2022,1267.4550508043967,Haut-Katanga
2023,1132.5533510148525,Haut-Katanga
2024,934.9199775599391,Haut-Katanga
2000,1475.5056352466345,Lomami
2001,1475.32457113266,Lomami
2002,1580.7814038991928,Lomami
2003,1477.7061049044132,Lomami
2004,1539.822364270687,Lomami
2005,1542.8150425553322,Lomami
2006,1525.4071462750435,Lomami
2007,1546.4717092961073,Lomami
2008,1566.3071810603142,Lomami
2009,1479.0824819803238,Lomami
2010,1380.246506601572,Lomami
2011,1483.5532834157348,Lomami
2012,1613.0825380086899,Lomami
2013,1476.3919409513474,Lomami
2014,1443.0406656116247,Lomami
2015,1466.0612799823284,Lomami
2016,1490.1993350982666,Lomami
2017,1502.900736629963,Lomami
2018,1722.956131535022,Lomami
2019,1557.170951962471,Lomami
2020,1335.0584078609406,Lomami
