Year,CHIRPS_Precipitation,Region
2015,1053.3666164463434,Xaignabouly
2016,594.7241241849379,Xaignabouly
2017,884.8162152416417,Xaignabouly
2018,1005.6900529162832,Xaignabouly
2019,733.1328696141331,Xaignabouly
2020,1393.1821781470403,Xaignabouly
2021,1793.0398989981984,Xaignabouly
2022,1064.968225029469,Xaignabouly
2023,1337.0181946292182,Xaignabouly
2024,946.8604592592742,Xaignabouly
2000,813.611261653803,Rangpur
2001,1773.3425947448761,Rangpur
2002,907.247731943211,Rangpur
2003,1137.0677584035604,Rangpur
2004,1514.87340860342,Rangpur
2005,1360.7335313206036,Rangpur
2006,1433.4445563761828,Rangpur
2007,1412.916773599898,Rangpur
2008,557.017399964622,Rangpur
2009,677.842252449576,Rangpur
2010,1245.4388344573945,Rangpur
2011,1098.3368364745816,Rangpur
2012,1557.431887341731,Rangpur
2013,614.667590456319,Rangpur
2014,1302.1976966883844,Rangpur
2015,653.3845781539713,Rangpur
2016,1724.4632094211652,Rangpur
2017,1310.1343614240936,Rangpur
2018,1711.206334033962,Rangpur
2019,1457.055210842249,Rangpur
2020,1293.5016061964247,Rangpur
2021,1240.1865981323372,Rangpur
2022,536.852496558501,Rangpur
2023,965.6623369896504,Rangpur
2024,1241.1323971174838,Rangpur
2000,505.33725455634175,Eastern Equatoria
2001,1167.7100277759998,Eastern Equatoria
2002,1439.0512465945494,Eastern Equatoria
2003,1076.5613358720386,Eastern Equatoria
2004,1357.9369500728299,Eastern Equatoria
2005,829.580855214157,Eastern Equatoria
2006,1196.4101690445164,Eastern Equatoria
2007,1772.1947407975426,Eastern Equatoria
2008,1485.5923287779574,Eastern Equatoria
2009,835.4174753656212,Eastern Equatoria
2010,1509.4969660047095,Eastern Equatoria
2011,1337.4889443533973,Eastern Equatoria
2012,939.7137247076707,Eastern Equatoria
2013,1770.3385686454042,Eastern Equatoria
2014,1481.2473251150952,Eastern Equatoria
2015,1017.8276063057675,Eastern Equatoria
2016,861.8391478738158,Eastern Equatoria
2017,1325.884567675836,Eastern Equatoria
2018,570.1116497314555,Eastern Equatoria
2019,1866.549923194692,Eastern Equatoria
2020,1985.9739292301153,Eastern Equatoria
2021,1663.353629746365,Eastern Equatoria
2022,1411.9336850114416,Eastern Equatoria
2023,702.3037445808899,Eastern Equatoria
2024,1001.7593034454774,Eastern Equatoria
2000,1454.5980155917796,Lang Son
2001,596.1166859476672,Lang Son
2002,804.5831114131463,Lang Son
2003,1482.6368225283509,Lang Son
2004,1762.9928375940892,Lang Son
2005,1889.3674277841358,Lang Son
2006,1850.5214581920322,Lang Son
2007,1060.1196796067754,Lang Son
2008,533.4416207618053,Lang Son
2009,793.5577063765488,Lang Son
2010,924.3850012866391,Lang Son
2011,1682.8346978421184,Lang Son
2012,780.1500668699185,Lang Son
2013,1830.1691260697828,Lang Son
2014,1544.278550252534,Lang Son
2015,1672.2907086563398,Lang Son
2016,1297.7666784124126,Lang Son
2017,525.020728042099,Lang Son
2018,1897.242472141942,Lang Son
2019,979.0636015986353,Lang Son
2020,1491.064021463479,Lang Son
2021,1633.1781209578642,Lang Son
2022,993.3268552936966,Lang Son
2023,622.9951304705493,Lang Son
2024,1663.1854164442911,Lang Son
2000,1766.2267536228128,Kavango
2001,832.2537366230375,Kavango
2002,1383.3992425627378,Kavango
2003,964.0027093694355,Kavango
2004,1294.4444213361708,Kavango
2005,1180.676851124717,Kavango
2006,1841.47718770012,Kavango
2007,568.0017574562685,Kavango
2008,635.8520965468151,Kavango
2009,1198.3460185936233,Kavango
2010,1197.9831728725371,Kavango
2011,1435.944094720926,Kavango
2012,543.1288516850232,Kavango
2013,1251.157239583642,Kavango
2014,1755.4189901644236,Kavango
2015,1238.615464666891,Kavango
2016,1670.400477642996,Kavango
2017,778.9175915847205,Kavango
2018,716.5316388291254,Kavango
2019,1913.0736324291518,Kavango
2020,1035.3757976500174,Kavango
2021,1422.2990419951934,Kavango
2022,1500.8442183829054,Kavango
2023,956.6090213571792,Kavango
2024,854.9365217197543,Kavango
2000,590.5690725003093,Medea
2001,1778.579283458677,Medea
2002,1477.4344770773032,Medea
2003,1367.1385267600203,Medea
2004,509.9135703363705,Medea
2005,795.0964299593486,Medea
2006,1639.6320668366532,Medea
2007,1930.938578665558,Medea
2008,1734.8571923958007,Medea
2009,858.4723041267639,Medea
2010,1578.6047135415965,Medea
2011,1946.9870945019004,Medea
2012,1593.0966547405942,Medea
2013,1227.5520962137045,Medea
2014,1691.9723481098324,Medea
2015,1397.3403225893676,Medea
2016,770.7470910331233,Medea
2017,599.5866566214216,Medea
2018,1562.8322828088415,Medea
2019,1285.077454899442,Medea
2020,510.4719788005211,Medea
2021,1743.9954896030963,Medea
2022,1014.0227006374613,Medea
2023,756.1458717597673,Medea
2024,646.5137884184069,Medea
2000,1531.4245840352062,El Oro
2001,636.9816629987804,El Oro
2002,1509.1608060020292,El Oro
2003,580.1970529963364,El Oro
2004,1762.8747025853345,El Oro
2005,1949.5767729325219,El Oro
2006,969.6465737875026,El Oro
2007,985.2229632794928,El Oro
2008,762.5369087299084,El Oro
2009,1059.7318089862315,El Oro
2010,1790.5920807720433,El Oro
2011,1002.4813507401414,El Oro
2012,1753.9767316054008,El Oro
2013,1438.533071853521,El Oro
2014,835.9202291438435,El Oro
2015,1915.756646026511,El Oro
2016,772.3985557418155,El Oro
2017,1094.5519139152539,El Oro
2018,1627.9779469983528,El Oro
2019,545.8176866801102,El Oro
2020,1958.160286341387,El Oro
2021,1790.6713072428527,El Oro
2022,1862.52845120338,El Oro
2023,573.0457288275297,El Oro
2024,1537.338092112585,El Oro
2000,935.1291450254872,Barima/Waini (Region n1)
2001,756.2144792245753,Barima/Waini (Region n1)
2002,652.5918950676393,Barima/Waini (Region n1)
2003,1932.2430402597108,Barima/Waini (Region n1)
2004,636.9805629075747,Barima/Waini (Region n1)
2005,1171.2486635371815,Barima/Waini (Region n1)
2006,1904.0212592799471,Barima/Waini (Region n1)
2007,888.3861970060872,Barima/Waini (Region n1)
2008,1730.5010412185131,Barima/Waini (Region n1)
2009,1542.754240890303,Barima/Waini (Region n1)
2010,1850.1952624228459,Barima/Waini (Region n1)
2011,1579.4452728322171,Barima/Waini (Region n1)
2012,1913.1746975141448,Barima/Waini (Region n1)
2013,1316.0470083251057,Barima/Waini (Region n1)
2014,1657.3268137317752,Barima/Waini (Region n1)
2015,1538.1693069966923,Barima/Waini (Region n1)
2016,1534.6025039975102,Barima/Waini (Region n1)
2017,1410.305016805316,Barima/Waini (Region n1)
2018,953.8860751875169,Barima/Waini (Region n1)
2019,764.8479148057286,Barima/Waini (Region n1)
2020,1197.0779984966193,Barima/Waini (Region n1)
2021,1046.082929565945,Barima/Waini (Region n1)
2022,1438.3304527845012,Barima/Waini (Region n1)
2023,759.0999975089962,Barima/Waini (Region n1)
2024,931.9469560319139,Barima/Waini (Region n1)
2000,570.9864358937042,Svay Rieng
2001,923.3106262020212,Svay Rieng
2002,1576.348072458437,Svay Rieng
2003,945.6771691642564,Svay Rieng
2004,612.0561941366777,Svay Rieng
2005,761.9008016891405,Svay Rieng
2006,1078.202694222494,Svay Rieng
2007,1662.6140454367594,Svay Rieng
2008,741.5210860795738,Svay Rieng
2009,1198.3510006349275,Svay Rieng
2010,847.9104301698045,Svay Rieng
2011,794.4790943521396,Svay Rieng
2012,1947.979561426708,Svay Rieng
2013,1031.5348264878448,Svay Rieng
2014,848.246247286437,Svay Rieng
2015,1440.5850830580027,Svay Rieng
2016,1705.7401747265585,Svay Rieng
2017,1812.205660482922,Svay Rieng
2018,570.1607733763308,Svay Rieng
2019,756.2928418557983,Svay Rieng
2020,1004.9300485634174,Svay Rieng
2021,965.7348029867287,Svay Rieng
2022,1650.3243105205931,Svay Rieng
2023,1183.8541902252668,Svay Rieng
2024,1215.1963149096039,Svay Rieng
2000,1458.224953186159,Yanggang-do
2001,1638.711670344373,Yanggang-do
2002,1351.7804363578207,Yanggang-do
2003,1313.2350925035216,Yanggang-do
2004,523.5885521175397,Yanggang-do
2005,1282.8880857439644,Yanggang-do
2006,1503.9594276043676,Yanggang-do
2007,507.43633931306005,Yanggang-do
2008,1721.6573149597255,Yanggang-do
2009,1425.2740938931022,Yanggang-do
2010,1322.6481961547847,Yanggang-do
2011,1096.578006038908,Yanggang-do
2012,901.0101964511964,Yanggang-do
2013,1976.8618606580258,Yanggang-do
2014,1993.5556336543432,Yanggang-do
2015,955.1257954828541,Yanggang-do
2016,964.8310588970685,Yanggang-do
2017,1746.5851333672776,Yanggang-do
2018,708.7349642937719,Yanggang-do
2019,1961.7622395548588,Yanggang-do
2020,1513.6655394987965,Yanggang-do
2021,1562.6746560577226,Yanggang-do
2022,809.8864618613227,Yanggang-do
2023,1482.3594440680922,Yanggang-do
2024,1097.4703393934424,Yanggang-do
2000,1624.016299784253,Qinghai
2001,955.8030430553678,Qinghai
2002,1217.212506831636,Qinghai
2003,816.5527528109749,Qinghai
2004,1638.4789784024945,Qinghai
2005,1250.6347894409232,Qinghai
2006,745.0248327497216,Qinghai
2007,1509.3896205896176,Qinghai
2008,550.9908133609846,Qinghai
2009,1248.49006255927,Qinghai
2010,1659.5059675956422,Qinghai
2011,784.4370211872758,Qinghai
2012,1523.1770630779893,Qinghai
2013,1863.331105478179,Qinghai
2014,506.9587703061314,Qinghai
2015,963.2362621542883,Qinghai
2016,1655.364538302549,Qinghai
2017,1520.6876400674478,Qinghai
2018,602.640746247275,Qinghai
2019,1681.52209832121,Qinghai
2020,536.9244633478319,Qinghai
2021,1257.4890976827917,Qinghai
2022,877.338862772523,Qinghai
2023,1747.5821975905421,Qinghai
2024,1672.9218564175662,Qinghai
2000,817.9759355634349,San Pedro
2001,1914.9144700837348,San Pedro
2002,908.7897087132146,San Pedro
2003,1710.8859860143987,San Pedro
2004,774.2133470833851,San Pedro
2005,560.0165344851356,San Pedro
2006,1164.4193962289994,San Pedro
2007,1686.728722286872,San Pedro
2008,683.4569261028157,San Pedro
2009,748.8740904292454,San Pedro
2010,1940.843484798605,San Pedro
2011,1825.0534609023603,San Pedro
2012,1049.9547164590522,San Pedro
2013,1826.7851935387696,San Pedro
2014,637.8668455681925,San Pedro
2015,1775.3756342290435,San Pedro
2016,1727.1442792866426,San Pedro
2017,1366.6531565155326,San Pedro
2018,962.261209692529,San Pedro
2019,1103.7689284377902,San Pedro
2020,910.1330948235178,San Pedro
2021,1018.7756822624297,San Pedro
2022,1914.1990928010646,San Pedro
2023,1465.016016977033,San Pedro
2024,1564.188848711542,San Pedro
